spotify_id,name,artists
1p5GikXPiCkw5T2VrSPrO1,Pretty Girl (with Rema),Ice Spice
1dGr1c8CrMLDpV6mPbImSI,Lover,Taylor Swift
1j6xOGusnyXq3l6IryKF3G,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21
7BVMtLpd7edHeOizt4RWz9,Frágil,Yahritza Y Su Esencia
1zsPaEkglFvxjAhrM8yhpr,Hey Mor,Ozuna
6ifUES3keWjwXgae8pXI3o,Me Rehúso,Danny Ocean
0aPs3kmiqmt9QG7gWXdefA,No soy Eterno,Bizarrap
7G0vBgcC5p2tBpeHiQzGFf,Borracho y Loco,Yandel
5IWsYLhoYS1kTaMh2bVnhz,Tu Chacal,SMILE BEATS
5z6xis1rcEjjs7MuM4eL1x,Lujuria Favorita,Joshy Tripp
0aP4dyDE4k1LUg7TAgYYRx,Abracadabra,BARBEL
1ETPrordns62g0uNKJmTre,Te Acuerdas,Armez
2LlOeW5rVcvl3QcPNPcDus,Always,Daniel Caesar
7bAVndaTleEnfizm6h2d3i,Musika,Dionela
6Rv8Ltr2MuAIM3LHF4L8qs,Rapstar,Flow G
1p80LdxRV74UKvL8gnD7ky,Blank Space,Taylor Swift
3UsQ5xVmuxXhZkJOJbVDed,Malaking P - Rich N**** Shit Remix,E.J
0otRX6Z89qKkHkQ9OqJpKt,Car's Outside,James Arthur
0szRYVD2MwFzQMs58PT1Ec,Para Sa Streets,Hev Abi
6gcuJpHu0Ey30D5WR76y98,You & Me,JENNIE
0Qra8Ps4tJAZPqRXyehCjc,Heaven Knows - This Angel Has Flown,Orange & Lemons
0HAG6nIiEKd75yGpovuSJQ,Isa lang,Arthur Nery
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans
1K0rybxoxW5svDYwXezXyN,Leonora,Sugarcane
16iRlyUMJVPqz62DlomMre,Ikaw Lang,NOBITA
5TZKpQFKCbIlWGD8DzHbC6,bad,wave to earth
6dgUya35uo964z7GZXM07g,Nonsense,Sabrina Carpenter
6FIEuf1JIzmCtach0gXpeG,Tadhana,Up Dharma Down
1v8KGf0DdZKIuS0GexqPZC,LWKY,Teys
1M5KNlFaSwG8gDZQCTjFx2,So Fine,Realest Cram
4mc3rUoMwwiNTHA4al9nNd,Fallen,Lola Amour
3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin
6QX6tanKOhwMpPtu1p0zAL,La Triple M,Mawell
4aEOz6ZpXh3wF4FOdJHOPV,Escápate Conmigo - Remix,Wolfine
3tiJUOfAEqIrLFRQgGgdoY,Un Finde | CROSSOVER #2,Big One
11PV8CaPqlto9Uejx92C35,OJITOS ROJOS,Grupo Frontera
0QdQh3umB7stVOExuHlWvl,DECLAN RICE,ODUMODUBLVCK
35UGCXaOBmhBUmKK81NQBH,PARIWO,Mohbad
5gDWsRxpJ2lZAffh5p7K0w,Stargirl Interlude,The Weeknd
3IhM5Mber8KA0NaRNpK2px,Lay Low,Tiësto
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys
7hUjUlcZyl9N6zWzqyYbjs,Paskendę vyne,Furytto
6RmV54gl0nByycqhTajiiZ,Tyliai Pakuždėk,Jessica Shy
00zk0uua6s2ifh0Nc3ppfW,Nun id change,Yeat
4ZnkygoWLzcGbQYCm3lkae,Rush,Troye Sivan
2wGSgTmgSF3xjRrHkTc25R,Hate It Or Love It,The Game
6CiKfOUAxxTxhdeXyxd6Lw,Iš Lėto Leidžiasi Saulė,Jovani
149qQkZez6yujONJspKw7U,Šokam Lėtai,Jessica Shy
0NfRszAHHTci3p02z41Gra,Dėl Tavęs,Jessica Shy
4wQmwPWCUn6gi11Gep2qsP,IT GIRL,Aliyah's Interlude
3QAU2pj4LUKf7yaTgANlQV,ITALODISCO,The Kolors
5SVo1JpFTKbTbnDXeJoL6p,Ko Tau Reikia,Adrina
6z3RBRZVdV34ZjFKgjmDXA,Вредина,Bakr
33r51tO7fefxJw4dKsY1qa,Мурашки,V $ X V PRiNCE
41gRAnGJ3hyF0GLMe4Rx4h,Алмата-Семей,Bonapart
5i3H6himHZaKZT3Dk8lr8Z,Сирень,Bakr
4LBkEsigdY1ojpMUXf9KXq,Чина,Irina Kairatovna
3qPi9H4HOdYIl9Lr4WPLJU,Очи,Bakr
